BHK,Property-Price,Property_Type,City1,Property-On-Floor,Property-Facing,Age-Of-Property,Super-Built-up-Construction-Area,Carpet-Construction-Area,Bathroom,Furniture-Details,Current-Status,Location,No-Of-Lift-Per-Block,Parking-Details
5.0,170.0,Residential,Ahmedabad,0.0,East,13.0,1215.0,2700.0,5.0,Semi-Furnished,Self-Occupied,A-Ghatlodia,2.0,Common Parking
3.0,150.0,Residential,Ahmedabad,0.0,West,35.0,1800.0,1359.0,2.0,Semi-Furnished,Self-Occupied,A-Ghatlodia,2.0,Reserved-Parking
3.0,84.0,Commercial,Ahmedabad,2.0,East,8.0,7623.0,5256.0,1.0,Semi-Furnished,Empty,A-Hathijan ,2.0,Common Parking
2.0,16.0,Residential,Ahmedabad,0.0,East,25.0,1215.0,485.0,2.0,Semi-Furnished,Empty,A-Amraiwadi,2.0,Common Parking
3.0,285.0,Commercial,Ahmedabad,0.0,South,2.0,1623.0,942.0,1.0,Unfurnished,Empty,A-Satellite,4.0,Common Parking
1.0,45.0,Residential,Ahmedabad,5.0,East,25.0,630.0,450.0,1.0,Unfurnished,Self-Occupied,A-Nikol,2.0,Common Parking
5.0,150.0,Residential,Ahmedabad,2.0,East,15.0,900.0,1782.0,2.0,Semi-Furnished,Self-Occupied,A-Ghatlodia,2.0,Common Parking
3.0,140.0,Residential,Ahmedabad,0.0,North,50.0,1350.0,2250.0,4.0,Full-Furnished,Self-Occupied,A-Nava Vadaj,2.0,Common Parking
3.0,140.0,Commercial,Ahmedabad,2.0,East,40.0,1215.0,1700.0,1.0,Semi-Furnished,Self-Occupied,A-Navrangpura,2.0,Common-Basement
3.0,86.0,Residential,Ahmedabad,2.0,East,27.0,1332.0,874.5,2.0,Full-Furnished,Self-Occupied,A-Maninagar,1.0,Common Parking
3.0,80.0,Residential,Ahmedabad,0.0,East,10.0,585.0,900.0,2.0,Semi-Furnished,Self-Occupied,A-Ranip,2.0,Reserved-Parking
3.0,100.0,Residential,Ahmedabad,4.0,East,24.0,1980.0,1620.0,3.0,Full-Furnished,Self-Occupied,A-Ambawadi,1.0,Reserved-Parking
3.0,70.0,Residential,Ahmedabad,0.0,East,36.0,2250.0,1278.0,3.0,Semi-Furnished,Empty,A-Ambawadi,2.0,Reserved-Parking
3.0,77.5,Residential,Ahmedabad,0.0,South,25.0,450.0,1125.0,2.0,Semi-Furnished,Self-Occupied,A-Ghatlodia,2.0,Common Parking
4.0,165.0,Residential,Ahmedabad,3.0,East,8.0,1440.0,1008.0,4.0,Semi-Furnished,Empty,A-Chandkheda,2.0,Reserved-Parking
