Tag,Property-Price,Location,BHK,Carpet-Construction-Area,Service_Expiry_Date
a-1202-samay-steller-koba-oct24_637,175.0,G-Koba,4.0,2079.0,2025-04-06
"a-128-nilkanth-arcade-surat-aug24,_640",11.0,B-Sayajigunj,3.0,81.0,2024-12-30
a-13-tirthnagar-society-dec24_641,65.0,A-Amraiwadi,3.0,1440.0,2025-06-08
a-16-maruti-owners-shahibaug-dec24_655,350.0,A-Shahibaug,3.0,2547.0,2025-06-01
"a-2-purshottam-bunglows-thaltej-oct24,_663",500.0,A-Thaltej,5.0,872.0,2025-04-05
a-201-shalvin-heights-vastral-april25_671,55.0,A-Vastral,3.0,1035.0,2025-06-11
a-203-kb-royal-altezza-chandkheda-sept24_679,53.0,A-Chandkheda,2.0,927.0,2025-01-26
a-204-santoor-grace-sargasan-sep24_689,60.0,G-Sargasan,2.0,810.0,2025-01-23
a-24-sthapatya-shreem-bunglows-sevasi-feb25_695,150.0,B-Sevasi,4.0,2250.0,2025-08-19
a-28-vallabh-city-viramgam-jan25_697,70.0,A-Sanand,3.0,872.0,2025-07-03
a-301-ashirwad-residency-paldi-may25_704,134.0,A-Paldi,3.0,1350.0,2025-07-23
a-301-shilp-saral-bopal-may25_710,76.0,A-Bopal,3.0,1107.0,2025-07-23
a-302-panjari-residency-nava-naroda-jul25_716,38.0,A-Nava Naroda,2.0,828.0,2025-07-21
a-302-saral-arise-pethapur-dec24_717,60.0,G-Pethapur,3.0,927.0,2025-04-01
a-304-dharmavatika-hathijan-may25_729,48.0,A-Hathijan,3.0,1044.0,2025-07-07
a-315-world-trade-tower-sg-highway-rent-nov24_738,20.0,A-SG Highway,3.0,370.0,2025-01-22
a-33-umed-park-society-gate-3-ghatlodia-oct24_741,261.0,A-Ghatlodia,1.0,872.0,2025-04-13
a-4-shalin-squre-vinzol-march25_753,115.99999999999999,A-Vinzol,3.0,427.0,2025-07-12
"a-402-balleshwar-vihar-bopal-dec24,_761",86.0,A-Bopal,3.0,1800.0,2025-06-22
a-403-darsh-pavitram-koba-sep24_765,56.0,G-Koba,2.0,711.0,2025-01-21
a-404-home-town-new-ranip-nov24_769,53.0,A-New Ranip,2.0,1080.0,2025-03-25
a-404-star-world-residency-surat-oct24_773,50.0,S-Pal,2.0,762.0,2025-03-05
a-46-panchgini-greens-changodar-jan25_778,58.0,A-Changodar,3.0,1035.0,2025-07-05
a-5-karmachari-nagar-part-2-ghatlodia-jan25_780,455.99999999999994,A-Ghatlodia,5.0,4320.0,2025-08-12
a-501-bansari-green-city-sector-26-dec24_784,75.0,G-Sector 26,2.0,819.0,2025-06-15
a-502-mahavir-hills-koba-feb25_791,51.0,G-Koba,2.0,837.0,2025-04-22
a-504-devkrupa-avenue-vatva-jan25_799,60.0,A-Vatva,3.0,872.0,2025-07-24
a-55-satej-homes-vatva-may25_807,17.0,A-Vatva,2.0,450.0,2025-07-12
a-601-skyway-elegance-nava-naroda-march25_814,70.0,A-Nava Naroda,3.0,872.0,2025-07-21
a-601-upavan-avenue-vaishnodevi-feb25_816,45.0,A-Vaishnodevi,2.0,872.0,2025-06-15
a-603-bhadralok-apartment-old-padra-sept24_820,75.0,B-Old Padra Road,3.0,2080.0,2025-03-14
a-604-vrundavan-residency-hathijan-feb25_823,34.0,A-Hathijan,2.0,610.0,2025-06-03
a-605-star-heights-odhav-nov24_824,19.0,A-Odhav,1.0,459.0,2025-01-23
a-701-kaivalyadham-2-satellite-feb25_830,90.0,A-Satellite,3.0,1566.0,2025-06-22
a-705-star-heights-nikol-nov24_843,120.0,A-Nikol,3.0,1710.0,2025-05-10
a-801-swarnim-squre-gota-dec24_849,75.0,A-Chharodi,3.0,999.0,2025-02-03
a-904-silver-harmony-gota-sept24_864,150.0,A-Gota,4.0,1665.0,2025-03-09
ag-3-serenity-meadows-sanand-aug24_873,46.5,A-Sanand,3.0,872.0,2025-03-16
321-arian-legacy-adalaj-oct24_876,72.0,A-Adalaj,3.0,821.0,2025-05-05
b-1-17-vrundavan-row-house-jan25_879,39.0,A-Changodar,2.0,1350.0,2025-03-09
b-1-1701-green-glades-godrej-garden-city-gota-dec24_880,89.0,A-Gota,3.0,900.0,2025-06-29
b-1001-kedar-tower-shahibaug-jan25_892,135.0,A-Shahibaug,5.0,1431.0,2025-07-25
b-1005-kalash-parisar-and-plaza-naroda-oct24_899,42.0,A-Naroda,2.0,570.0,2025-02-04
b-102-dharmlake-residency-hathijan-april25_909,60.0,A-Hathijan,3.0,1620.0,2025-06-07
b-103-bhavnath-society-ghatlodia-feb25_914,110.00000000000001,A-Ghatlodia,4.0,1800.0,2025-08-08
b-11-sanidhya-homes-south-bopal-nov24_922,250.0,A-South Bopal,3.0,1422.0,2025-05-30
"b-110-the-landmark-kudasan-oct24,_924",110.00000000000001,G-Kudasan,3.0,551.0,2025-05-05
b-1101-swastik-skylark-gota-feb25_926,114.99999999999999,A-Gota,3.0,972.0,2025-04-26
b-1102-vandematram-fabula-gota-oct24_927,9000000.0,A-Gota,3.0,1170.0,2025-05-05
b-12-dhumketu-bunglows-kankariya-oct24_932,385.0,A-kankaria,5.0,872.0,2025-05-05
b-1201-status-elysium-gota-sep24_937,90.0,A-Gota,2.0,720.0,2025-02-15
b-121-radience-residency-motera-dec24_943,125.0,A-Motera,3.0,1581.0,2025-06-07
b-201-uma-sharnam-gota--oct24_978,68.0,A-Gota,3.0,1296.0,2025-03-03
b-2930-krishna-gokul-co-opp.-housing-society-part-2-naroda-dec24_1006,225.0,A-Naroda,3.0,872.0,2025-06-13
b-3-geeta-apartment-ambawadi-feb25_1010,7000.0,A-Ambawadi,2.0,630.0,2025-06-23
b-3-surbhi-park-society-isanpur-nov24_1012,90.0,A-Isanpur,2.0,872.0,2025-05-16
b-301-samvaad-sonnet-vaishnodevi-aug24_1014,67.0,A-Vaishnodevi,3.0,954.0,2025-03-04
b-304-ashwamegh-pearl-maninagar-west-dec24_1024,114.99999999999999,A-maninagar West,3.0,1044.0,2025-06-09
b-305-ganesh-icon-vaishnodevi-nov24_1026,57.0,A-Vaishnodevi,2.0,774.0,2025-03-16
b-31-32-celebration-city-centre-bopal-nov24_1030,127.0,A-Bopal,3.0,872.0,2025-05-14
b-311-312-signature-2-sarkhej-oct24_1031,105.0,A-Sarkhej,3.0,872.0,2025-05-05
b-4-maha-gujarat-society-naranpura-oct24_1036,350.0,A-Naranpura,3.0,1530.0,2025-04-04
b-401-sangath-silver-motara-sept24_1039,120.0,A-Motera,3.0,1398.0,2025-03-29
b-402-krishna-grace-thaltej-jan25_1044,35.0,A-Thaltej,3.0,872.0,2025-05-08
b-402-veer-vishwa-mahemdabad-feb25_1047,31.0,A-Adalaj,2.0,648.0,2025-05-01
b-403-marry-gold-avenue-2-madhapar-march25_1050,25.0,A-Adalaj,2.0,667.0,2025-07-12
b-403-shubhlaxmi-avenue-chandkheda-nov24_1053,68.0,A-Chandkheda,3.0,1017.0,2025-05-23
b-405-gulmahor-nirvana-ghuma-sep24_1059,30.0,A-Ghuma,1.0,500.0,2024-11-06
b-425-pltinum-plaza-bodakdev-dec24_1066,285.0,A-Bodakdev,3.0,2435.0,2025-06-17
b-5-302-pushkar-residency-jashodanagar-sep24_1073,40.0,A-Vatva,2.0,735.0,2024-11-23
b-504-dev-ashish-pride-&-plaza-naroda-oct24_1096,54.0,A-Naroda,2.0,711.0,2025-04-13
b-516-om-shanti-raj-nivas-vatva-march25_1106,17.0,A-Vatva,1.0,522.0,2025-05-16
b-601-serenity-satyam-south-bopal-oct24_1114,80.0,A-South Bopal,3.0,965.0,2025-02-05
b-602-om-shanti-gold-plus-narol-jul25_1116,25.0,A-Vaishnodevi,3.0,561.0,2025-07-20
b-602-setu-scarlet-chandkeda-nov24_1117,151.0,A-Chandkheda,3.0,1462.0,2025-05-27
b-603-yash-pinnacale-paldi-jan25_1120,67.0,A-Paldi,2.0,747.0,2025-07-05
b-604-magnate-lifestyle-vaishnodevi-circle-oct24_1123,74.0,A-Vaishnodevi,3.0,872.0,2025-05-05
b-604-sp-nirvana-south-bopal-jan25_1125,68.0,A-South Bopal,3.0,1020.0,2025-07-31
b-7-gopalnagar-chandkheda-jan25_1130,192.0,A-Chandkheda,5.0,2871.0,2025-08-05
b-704-tulshi-highs-vaishnodevi-sep24_1138,25.0,A-Vaishnodevi,3.0,872.0,2024-11-04
b-802-rudraksh-residency-kosamdi-oct24_1143,45.0,A-Adalaj,3.0,1080.0,2025-04-06
b-803-rudraksh-residency-kosamdi-oct24_1147,45.0,A-Adalaj,3.0,1080.0,2025-04-06
b-803-swati-crimson-2-satellite-march25_1149,276.0,A-Satellite,4.0,2424.0,2025-05-15
b-901-orchid-divine-south-bopal-dec24_1155,80.0,A-South Bopal,3.0,778.0,2025-06-01
b-902-atlantis-north-gota-march25_1158,91.0,A-Gota,3.0,1143.0,2025-05-17
b-903-orchid-pride-south-bopal-oct24_1159,74.0,A-South Bopal,3.0,792.0,2025-05-05
b-904-maple-parmeswer-chandkheda-nov24_1164,98.0,A-Chandkheda,3.0,1215.0,2025-05-11
b-93-shagun-complex-swatik-society-navrangpura-oct24_1167,150.0,A-Navrangpura,3.0,2850.0,2025-05-05
b-94-prernavirajtower-satellite-sell-aug24_1168,80.0,A-Satellite,3.0,918.0,2024-12-16
24-2-bina-park-ghatlodia-dec24_1172,135.0,A-Ghatlodia,2.0,720.0,2025-06-03
bunglows-145-3a-radha-vallabh-colony-maninagar-oct24_1174,350.0,A-Maninagar,5.0,3330.0,2025-03-05
2-jeet-city-mota-chiiloda-sep24_1175,135.0,G-Mota Chiloda,3.0,1476.0,2025-03-07
bunglows-5&6-shubhangan-bunglows-kalol-sept24_1176,311.0,G-kalol,5.0,872.0,2025-03-29
c-103-aditya-oriana-gota-jan24_1194,22.0,A-Gota,3.0,1080.0,2025-04-04
"c-103-sukh-sahita-heights-nava-naroda-oct24,_1196",60.5,A-Nava Naroda,2.0,810.0,2025-03-05
c-1051-trp-mall-bopal-sept24_1203,175.0,A-Bopal,3.0,503.0,2025-03-13
c-14-the-arvind-megha-trade-naroda-feb25_1218,30.0,A-Naroda,3.0,221.0,2025-06-24
c-16-krishna-bhavan-kashmora-society-paldi-oct24_1220,1200.0,A-Paldi,3.0,872.0,2025-05-05
c-16-kuber-ratna-dabhoi-march25_1221,31.0,B-Dabhoi Road,3.0,1039.0,2025-05-12
c-17-purn-purushotam-society-1-ranip-march25_1222,130.0,A-Ranip,4.0,1620.0,2025-05-21
c-1901-sky-ville-apartment-shela-jan24_1223,215.0,A-Shela,3.0,872.0,2025-07-03
c-2-1801-riviera-woods-sky-city-shela-jan25_1226,672.0,A-Shela,5.0,4953.0,2025-07-19
c-2-204-rudra-arambh-changodar-oct24_1227,23.0,A-Changodar,1.0,872.0,2025-04-09
"c-201-shree-narayan-lotus-chandkheda-nov24,_1236",38.0,A-Chandkheda,2.0,648.0,2025-04-02
c-204-shukan-apartment-gota-oct24_1242,88.0,A-Gota,3.0,1026.0,2025-05-05
"c-25-ankur-society-naroda-sep24,_1247",52.0,A-Naroda,3.0,1350.0,2024-11-15
c-301-keshav-galaxy-nikol-aug24_1251,65.0,A-Nikol,3.0,1008.0,2024-12-31
c-302-arjun-homes-naranpura-rent-feb25_1254,20.0,A-Naranpura,2.0,900.0,2025-05-10
"c-302-ayodhya-society-2-vatva-aug24,_1255",21.0,A-Vatva,2.0,585.0,2024-10-25
c-303-sarvopari-elegance-new-ranip-dec24_1259,86.0,A-New Ranip,3.0,1035.0,2025-06-16
c-304-luxuria-apartment-bhadaj-jan25_1262,40.0,A-Bhadaj,3.0,872.0,2025-04-24
c-325-siddharth-excelence-vasna-road-feb25_1266,47.0,B-Vasna Road,3.0,429.0,2025-04-07
"c-4-1603-waterlily-oct24,_1271",475.0,A-Vaishnodevi,5.0,4000.0,2025-05-05
