active_property_index,active_location,active_bhk,active_price_lakhs,active_area_sqft,expired_property_index,expired_location,expired_bhk,expired_price_lakhs,expired_area_sqft,days_since_expiry,similarity_score,final_score,price_difference_pct,urgency_level,suggested_message
1160,P-Punewalu,3.0,96.0,1082.0,1952,A-South Bopal,3.0,76.0,1440.0,70.0,0.7736,0.8036,20.83,Medium,Hi! We're receiving active inquiries for a 3BHK property in P-Punewalu at a slightly lower price (₹76.0L vs ₹96.0L). This is very similar to your 3BHK property in A-South Bopal. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
1160,P-Punewalu,3.0,96.0,1082.0,883,A-Gota,4.0,105.0,709.0,59.0,0.7067,0.7477,9.38,Medium,Hi! We're receiving active inquiries for a 3BHK property in P-Punewalu at a very similar price point (₹105.0L). This is very similar to your 4BHK property in A-Gota. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
1160,P-Punewalu,3.0,96.0,1082.0,998,A-New Ranip,2.0,78.0,1170.0,168.0,0.7133,0.7133,18.75,Low,Hi! We're receiving active inquiries for a 3BHK property in P-Punewalu at a slightly lower price (₹78.0L vs ₹96.0L). This is very similar to your 2BHK property in A-New Ranip. Would you like to renew your package to capture these leads?
1160,P-Punewalu,3.0,96.0,1082.0,1916,A-Nava Naroda,3.0,75.0,550.0,193.0,0.707,0.707,21.88,Low,Hi! We're receiving active inquiries for a 3BHK property in P-Punewalu at a slightly lower price (₹75.0L vs ₹96.0L). This is very similar to your 3BHK property in A-Nava Naroda. Would you like to renew your package to capture these leads?
707,P-Ambegaon,3.0,114.99999999999999,1800.0,1839,A-Bopal,3.0,95.0,1485.0,77.0,0.8196,0.8426,17.39,Medium,Hi! We're receiving active inquiries for a 3BHK property in P-Ambegaon at a slightly lower price (₹95.0L vs ₹115.0L). This is very similar to your 3BHK property in A-Bopal. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
707,P-Ambegaon,3.0,114.99999999999999,1800.0,1730,A-Vastral,3.0,95.0,1602.0,85.0,0.8178,0.8328,17.39,Medium,Hi! We're receiving active inquiries for a 3BHK property in P-Ambegaon at a slightly lower price (₹95.0L vs ₹115.0L). This is very similar to your 3BHK property in A-Vastral. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
707,P-Ambegaon,3.0,114.99999999999999,1800.0,220,A-Lambha,4.0,125.0,1215.0,184.0,0.8311,0.8311,8.7,Low,Hi! We're receiving active inquiries for a 3BHK property in P-Ambegaon at a very similar price point (₹125.0L). This is very similar to your 4BHK property in A-Lambha. Would you like to renew your package to capture these leads?
707,P-Ambegaon,3.0,114.99999999999999,1800.0,344,B-New VIP Road,4.0,90.0,1620.0,87.0,0.8146,0.8276,21.74,Medium,Hi! We're receiving active inquiries for a 3BHK property in P-Ambegaon at a slightly lower price (₹90.0L vs ₹115.0L). This is very similar to your 4BHK property in B-New VIP Road. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
1125,A-Ghatlodia,3.0,76.0,1323.0,1395,A-Chanakyapuri Ghatlodia,3.0,85.0,1620.0,60.0,0.848,0.988,11.84,Medium,Hi! We're receiving active inquiries for a 3BHK property in A-Ghatlodia at a premium price (₹85.0L vs ₹76.0L). This is very similar to your 3BHK property in A-Chanakyapuri Ghatlodia. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
1125,A-Ghatlodia,3.0,76.0,1323.0,861,A-Ghatlodia,3.0,73.0,1467.0,225.0,0.8449,0.9449,3.95,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Ghatlodia at a very similar price point (₹73.0L). This is very similar to your 3BHK property in A-Ghatlodia. Would you like to renew your package to capture these leads?
